"","oshpd_id2","FACILITY_NAME","COUNTY_NAME","LICENSE_CATEGORY_DESC","DBA_ADDRESS1","DBA_CITY","DBA_ZIP_CODE","LICENSED_BED_SIZE","TRAUMA_CENTER_DESC","MSSA_DESIGNATION","RURAL_HOSPITAL_DESC","TEACHING_HOSPITAL_DESC","CONTROL_TYPE_DESC","ER_SERVICE_LEVEL_DESC","Sex_Female","Sex_Male","Sex_Other_Unknown","Age_0_09","Age_10_19","Age_20_29","Age_30_39","Age_40_49","Age_50_59","Age_60_69","Age_70_79","Age_80_","Age_Unknown","Asian_Pacific_Islander","Black","Hispanic or Latino","Native_American_Eskimo_Aleut","racegrp_other","racegrp_unknown","White","Acute_Care","Against_Medical_Advice","Died","Home_Health_Service","Hospice_Care","Other_Care","Other_Unknown","Prison_Jail","Psychiatric_Care","Residential_Care","Routine","SN_IC_Care","Childrens_or_Cancer","CAH","Not_Defined_Elsewhere","Medi_Cal","Medicare","Other_Payer","Private_Coverage","Uninsured","dx_Pregnancy_Childbirth","dx_Diseases_of_the_Blood","dx_Circulatory","dx_Congenital","dx_Digestive","dx_Endocrine","dx_Genitourinary","dx_Infectious","dx_Injury_Poisoning","dx_Musculoskeletal","dx_Neoplasms","dx_Nervous_System","dx_Other_Unknown","dx_Certain_Perinatal_Conditions","dx_Psychoses_Neuroses","dx_Respiratory","dx_Skin","dx_Symptoms_Signs_NEC","dx_Births","dx_Unacceptable_principal_diagno","EC_Accidental_Falls","EC_Accidental_Poisoning","EC_Adverse_Effects_of_Drugs","EC_Fire_Accidents","EC_Inflicted_by_Others","EC_Late_Effects_of_Injury","EC_Misadventures_Complication","EC_Natural_Environment","EC_None","EC_Other_Accidents","EC_Self_Inflicted","EC_Submersion_Suffocation_Foreig","EC_Undetermined","EC_War","ED_Visit","All_Other","English","Spanish","a_Sex_Female","a_Sex_Male","a_Sex_Unknown_Other","a_Age_10_19","a_Age_20_29","a_Age_30_39","a_Age_40_49","a_Age_50_59","a_Age_60_69","a_Age_70_79","a_Age_80_","a_Age_Unknown","a_Asian_Pacific_Islander","a_Black","a_Hispanic or Latino","a_racegrp_other","a_Unknown_Race","a_White","a_Native_American_Eskimo_Aleut","a_Acute_Care","a_Against_Medical_Advice","a_Died","a_Home_Health_Service","a_Other_Care","a_Other_Unknown","a_Residential_Care_Facility","a_Routine","a_SN_IC_Care","a_Prison_Jail","a_Hospice_Care","a_Psychiatric_Care","a_Childrens_or_Cancer","a_Critical_Access_Hospital","a_Not_Defined_Elsewhere","a_Medi_Cal","a_Medicare","a_Other_Payer","a_Private_Coverage","a_Uninsured","a_dx_Pregnancy_Childbirth","a_dx_Diseases_of_the_Blood","a_dx_Circulatory","a_dx_Digestive","a_dx_Endocrine","a_dx_Genitourinary","a_dx_Infectious","a_dx_Injury_Poisoning","a_dx_Musculoskeletal","a_dx_Neoplasms","a_dx_Nervous_System","a_dx_Psychoses_Neuroses","a_dx_Respiratory","a_dx_Skin","a_dx_Symptoms_Signs_NEC","a_dx_births","a_dx_Congenital","a_dx_Certain_Perinatal_Condition","a_EC_Accidental_Falls","a_EC_Accidental_Poisoning","a_EC_Adverse_Effects_of_Drugs","a_EC_Inflicted_by_Others","a_EC_Late_Effects_of_Injury","a_EC_Misadventures_Complication","a_EC_None","a_EC_Other_Accidents","a_EC_Self_Inflicted","a_EC_Submersion_Suffocation_Fore","a_EC_Fire_Accidents","a_EC_Natural_Environment","a_EC_Undetermined","a_EC_War","Inpatient_from_ED","a_All_Other_Languages","a_English","a_Spanish","YEAR","a_Age_00_09","EC_All_Transport_Types","a_EC_All_Transport_Types","a_dx_Other_Reasons","SelfPay","Unknown_inv_Payer","a_SelfPay","a_Unknown_inv_Payer","LICENSED_BED_TOTAL","ED_STATIONS_ON_1231","CONGRESS_DIST","Rehab","Disaster_Care_Site","a_Rehab","a_Disaster_Care_Site","a_Residential_Care","a_CAH","disp_Invalid_Blank","disp_Other","a_disp_Invalid_Blank","a_disp_Other","ed_lic_levl_end","dx_Birth_Defects","dx_Cancer","dx_Ear","dx_Eye","EC_Abnormal_Reaction_Later_Cx","EC_Med_Device_Advrs_Incident","EC_NonTrans_Drowning_Subm","EC_Other_Factors","EC_Supplementary_Factors","EC_W_Inanimate_Animate_Object","All_Other_Languages","a_dx_Birth_Defects","a_dx_Cancer","a_dx_Ear","a_dx_Eye","a_EC_Abnormal_Reaction_Later_Cx","a_EC_Med_Device_Advrs_Incident","a_EC_Supplementary_Factors","a_EC_W_Inanimate_Animate_Object","a_EC_NonTrans_Drowning_Subm","racegrp_inv_blank","Non-Hispanic or Non-Latino","eth_Unknown","eth_Blank_Invalid","a_racegrp_inv_blank","a_Non-Hispanic or Non-Latino","a_Unknown_Eth","a_eth_Blank_Invalid","racegrp_aman","racegrp_asian","racegrp_black","racegrp_multirace","racegrp_nhpi","racegrp_white","eth_Hispanic","eth_NonHispanic","disp_Acute_Care","disp_Against_Medical_Advice","disp_Died","disp_Hospice_Care","disp_Not_Defined_Elsewhere","disp_Prison_Jail","disp_Psychiatric_Care","disp_Routine","disp_SN_IC_Care","disp_CAH","disp_Childrens_or_Cancer","disp_Home_Health_Service","disp_Rehab","disp_Residential_Care","disp_Disaster_Care_Site","dx_Residual","Unknown_lang","blank_inv_lang","Zip_Foreign","a_racegrp_aman","a_racegrp_asian","a_racegrp_black","a_racegrp_multirace","a_racegrp_nhpi","a_racegrp_unknown","a_racegrp_white","a_eth_Hispanic","a_eth_NonHispanic","a_Eth_Other_Unknown","a_disp_Acute_Care","a_disp_Against_Medical_Advice","a_disp_Died","a_disp_Home_Health_Service","a_disp_Hospice_Care","a_disp_Psychiatric_Care","a_disp_Rehab","a_disp_Residential_Care","a_disp_Routine","a_disp_SN_IC_Care","a_disp_CAH","a_disp_Not_Defined_Elsewhere","a_disp_Childrens_or_Cancer","a_disp_Disaster_Care_Site","a_disp_Prison_Jail","a_DX_Residual","a_Unknown_lang","a_blank_inv_lang","a_Zip_Foreign","dx_Factors_Influencing_Health_St","a_dx_Factors_Influencing_Health_","PLS_Other_Unknown","a_PLS_Other_Unknown"
"1",106010735,"ALAMEDA HOSPITAL","ALAMEDA","General Acute Care Hospital","2070 CLINTON","ALAMEDA","94501","100-149","Non-Trauma Center","Urban","Non Rural","Non teaching",NA,"Emergency - Basic",7722,6005,0,844,1104,2458,2236,2173,1937,1322,688,965,0,1335,3025,173,9,2762,372,6051,237,385,39,23,12,6,8,133,210,10,12462,201,1,0,0,549,2740,3469,4339,2630,249,41,229,0,677,247,616,244,3613,864,9,716,619,1,730,1157,614,3101,0,0,1119,62,65,7,221,13,28,149,9573,1837,22,101,4,0,13727,522,12918,287,1348,1247,0,26,98,145,214,367,462,395,888,0,470,416,170,259,20,1259,1,125,43,94,180,21,12,18,1343,759,0,0,0,0,0,0,455,1533,9,461,137,10,44,496,386,128,146,361,176,42,31,46,30,389,96,212,0,1,0,126,9,100,1,13,72,2223,20,9,7,2,5,0,0,2595,295,2232,68,2012,0,526,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","General Acute Care Hospital","2450 ASHBY STREET","BERKELEY","94705","300-499","Non-Trauma Center","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",20833,14509,0,737,2096,8450,5937,4959,5430,3774,1998,1961,0,2385,12662,3419,55,2523,190,14108,198,242,25,3,0,9,5,0,934,44,33653,156,35,0,38,8613,5707,1877,12926,6219,1859,230,876,0,1762,558,2071,739,7887,1953,42,2184,1312,40,2406,2689,1490,7244,0,0,2447,196,279,103,513,28,211,359,25993,3568,109,206,7,0,35342,534,33867,941,3438,2609,0,74,528,492,600,905,1047,972,1424,0,488,2101,380,247,22,2803,6,81,100,182,779,290,22,47,3645,898,3,0,0,0,0,0,635,2618,46,2431,317,196,206,951,923,278,352,703,613,149,177,212,94,641,179,358,2,6,3,325,76,594,11,27,289,4543,68,43,14,2,22,10,0,6047,167,5726,154,2012,5,1323,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",106010776,"CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","General Acute Care Hospital","747 52ND STREET","OAKLAND","94609","150-199","Level I - Pediatric","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",18391,20826,1,29749,9037,275,88,31,28,6,3,1,0,2078,12165,15489,39,5815,322,3310,308,758,9,0,0,0,8,0,0,0,38135,0,0,0,0,28489,19,1785,5949,2976,29,121,29,4,1366,157,654,414,6420,2505,21,2445,1308,253,427,2528,857,19679,1,0,3407,223,56,15,240,0,51,547,29971,3581,19,472,9,0,39218,1425,27285,10508,3050,3861,0,1720,92,0,0,0,0,0,0,0,415,1581,2381,1345,57,1127,5,42,15,15,7,23,1,2,6798,8,0,0,0,0,0,0,3855,11,1321,1648,76,0,322,49,727,290,324,319,1101,116,68,249,20,2159,370,479,2,72,216,225,45,217,27,6,236,5778,113,17,79,1,29,8,0,6911,176,5240,1495,2012,5099,627,130,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",106010805,"EDEN MEDICAL CENTER","ALAMEDA","General Acute Care Hospital","20103 LAKE CHABOT ROAD","CASTRO VALLEY","94546","150-199","Level II","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",18119,13612,0,3328,2835,5848,4964,4417,4384,2425,1493,2037,0,2098,6645,7036,100,868,28,14956,1064,332,100,62,26,7,134,188,695,2,29049,50,0,11,11,8543,6426,814,9169,6779,982,182,688,1,1599,465,1961,942,7717,1451,35,2285,834,22,1693,3121,1649,6104,0,0,2230,142,125,14,514,57,62,242,23717,3166,157,151,20,0,31731,666,29433,1632,3248,3076,0,107,429,429,656,1037,1064,910,1689,0,690,894,936,58,10,3721,15,281,105,291,633,224,52,123,3302,1287,26,0,0,0,0,0,1088,3518,132,1043,543,79,98,1171,701,297,395,742,1173,115,162,168,178,607,129,295,1,3,2,576,71,427,132,25,208,4341,111,55,13,1,24,5,0,6324,302,5775,247,2012,3,1134,335,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",106010846,"HIGHLAND HOSPITAL","ALAMEDA","General Acute Care Hospital","1411 EAST 31ST STREET","OAKLAND","94602","300-499","Level II","Urban","Non Rural","Teaching",NA,"Emergency - Basic",34198,40004,0,753,2791,16032,14367,15555,16257,6884,1108,455,0,5450,31470,20596,248,6247,196,9995,1936,567,161,2,0,18,140,1130,0,1,70104,143,0,0,0,17877,4437,35836,1640,14412,1143,210,1966,21,3893,1473,3928,1902,9809,8253,321,4218,10049,14,2866,4567,4013,15553,1,2,2551,150,232,33,2488,203,293,388,61438,4077,172,217,99,0,74202,4025,57871,12306,3708,5284,0,215,1109,1220,1675,2311,1536,544,381,0,975,3588,2140,719,37,1505,28,216,188,180,122,355,0,147,7052,625,107,0,0,0,0,0,3730,1525,74,435,3228,103,113,1206,1236,456,373,478,1505,212,329,230,626,746,419,683,1,10,0,407,93,429,493,67,387,6423,123,52,12,4,22,16,0,8992,677,7053,1262,2012,1,1861,464,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",106010856,"KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","General Acute Care Hospital","280 W. MACARTHUR BOULEVARD","OAKLAND","94611","300-499","Non-Trauma Center","Urban","Non Rural","Teaching","Non-Profit","Emergency - Basic",51245,40759,17,10668,8629,14468,12246,12501,12645,9387,5661,5815,1,7666,37350,17691,297,2747,5324,20946,525,1023,66,39,48,67,39,13,859,10,88783,202,0,8,339,13016,16470,1788,42405,18342,1288,525,2455,26,3625,1606,3282,1523,18742,6078,110,6316,5522,51,3011,7592,3038,27225,4,2,5669,342,703,1903,1129,200,491,781,67527,9399,165,505,67,0,92021,1816,82921,7284,4468,3892,0,257,385,469,745,1132,1462,1464,2091,0,1015,3193,1036,87,19,2980,30,293,80,291,681,167,9,76,5815,946,2,0,0,0,0,0,445,4379,38,3277,221,147,163,1738,1350,413,353,1541,765,160,184,205,119,646,182,341,1,5,25,433,45,603,19,30,592,6333,146,42,24,1,39,14,0,8360,316,7675,369,2012,355,3140,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",106010858,"KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","General Acute Care Hospital","27400 HESPERIAN BOULEVARD","HAYWARD","94545","200-299","Non-Trauma Center","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",37792,31061,1,9555,7504,9121,8467,8290,8365,6524,5033,5995,0,13058,10243,18027,275,2805,1671,22775,377,665,74,224,96,61,23,25,798,166,65645,505,2,15,178,7081,15384,1107,41387,3895,1058,333,2185,18,3888,1437,3661,1388,16192,3928,106,4255,1871,67,2509,5734,2494,17729,0,1,5349,260,800,36,540,52,441,688,49726,8092,249,510,45,0,68854,1943,62317,4594,4196,3977,0,162,306,429,626,1085,1535,1563,2258,0,1596,812,1434,61,14,4230,26,471,55,327,1234,79,4,122,4514,1366,1,0,0,0,0,0,310,4731,16,2980,136,95,125,1597,1353,318,441,1529,797,92,149,137,79,956,151,317,0,3,20,463,61,822,10,36,690,5806,166,30,26,1,33,2,0,8173,339,7509,325,2012,209,2066,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","General Acute Care Hospital","350 HAWTHORNE AVENUE","OAKLAND","94609","300-499","Non-Trauma Center","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",19432,13241,0,277,1258,6154,5274,5266,6084,3893,2159,2308,0,2676,19070,2477,50,1520,283,6597,319,305,55,1,0,14,5,0,750,18,30586,469,5,0,146,11115,6961,1395,7249,5953,850,182,938,0,1635,520,1807,722,6307,1994,41,2580,1215,1,1897,2823,1405,7753,3,0,1821,158,218,18,597,19,222,243,25500,2577,97,95,18,0,32673,1570,30330,773,4356,3486,0,29,210,401,683,1351,1511,1406,2251,0,1494,3648,486,166,58,1980,10,48,175,290,1289,159,30,39,4051,1760,1,0,0,0,0,0,881,4156,104,2381,320,16,205,1732,1039,443,483,862,631,159,214,218,88,929,152,656,0,5,0,358,133,753,6,29,453,5978,82,6,13,4,7,6,0,7842,1031,6576,235,2012,0,1090,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",106010967,"ST. ROSE HOSPITAL","ALAMEDA","General Acute Care Hospital","27200 CALAROGA AVENUE","HAYWARD","94545","200-299","Non-Trauma Center","Urban","Non Rural","Non teaching","Non-Profit","Emergency - Basic",17322,13155,2,4842,3033,5833,4964,4096,3526,2193,1143,849,0,2604,6366,11845,44,2984,291,6345,318,1053,80,3,2,4,131,267,575,4,27793,195,54,0,0,14170,4314,1295,3503,7197,1027,101,494,4,1350,444,1681,984,5323,2527,26,1754,1338,49,1283,3687,1450,6957,0,0,1713,85,226,21,443,35,112,268,23746,2734,77,126,62,0,30479,2147,22988,5344,2602,2108,0,35,250,279,510,848,932,843,1011,0,1121,759,1145,118,67,1486,14,119,99,177,376,102,3,106,2742,983,3,0,0,0,0,0,1559,2224,21,569,337,61,74,1037,699,284,320,438,284,66,89,87,59,664,117,415,1,1,1,151,35,228,7,11,191,3965,46,20,25,1,13,13,0,4710,811,3352,547,2012,2,831,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",106010987,"WASHINGTON HOSPITAL - FREMONT","ALAMEDA","General Acute Care Hospital","2000 MOWRY AVENUE","FREMONT","94538","300-499","Non-Trauma Center","Urban","Non Rural","Non teaching","District","Emergency - Basic",23099,18614,0,7045,4103,6351,6092,5610,4901,2956,2244,2409,2,4593,4696,8174,52,8030,42,16126,186,275,74,35,0,0,0,258,697,0,39697,491,0,0,0,16197,7456,1947,10189,5924,1111,108,928,2,2150,633,2140,1026,8615,2434,38,2654,1550,62,2444,4458,1681,9678,0,1,2797,202,251,20,407,91,27,367,32097,3861,125,229,4,0,41713,1652,38293,1768,4019,3558,0,96,231,364,593,1031,1168,1460,2423,0,2226,493,945,334,2,3557,20,120,77,329,1082,71,1,168,4171,1558,0,0,0,0,0,0,1061,4768,43,1335,370,56,126,1686,1386,277,478,617,601,167,195,152,58,1081,236,427,0,6,22,423,50,599,3,28,289,5991,113,27,29,1,5,2,0,7577,829,6520,228,2012,211,1235,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
