"","YEAR","FAC_NO","FACILITY_NAME","DBA_ADDRESS1","DBA_CITY","DBA_ZIP_CODE","COUNTY_NAME","LICENSED_BED_SIZE","TYPE_CONTROL_DESC","TEACH_RURAL","TOC_Acute","TOC_SN_IC","TOC_Psych","TOC_Chem_Dep","TOC_Rehab","TOC_Unknown","Sex_Male","Sex_Female","Sex_Other_Unknown","Age_0_09","Age_10_19","Age_20_29","Age_30_39","Age_40_49","Age_50_59","Age_60_69","Age_70_79","Age_80_","Age_Unknown","RaceGrp_White","RaceGrp_Black","RaceGrp_Hispanic","RaceGrp_Asian","RaceGrp_Native_Am","RaceGrp_Other","RaceGrp_Unknown","Admt_Home","Admt_Resid_Care","Admt_Ambul_Surgery","Admt_SN_IC","Admt_Acute_Inpt_Hosp_Care","Admt_Other_Inpt_Hosp_Care","Admt_Newborn","Admt_Prison_Jail","Admt_Other","Admt_Unknown","Route_Your_ER","Route_Not_Your_ER","Route_Unknown","Adm_Scheduled","Adm_Unscheduled","Adm_Newborn","Adm_Unknown","Disp_Routine","Disp_Resid_Care","Disp_Prison_Jail","Disp_Against_Medical_Advice","Disp_Died","Disp_Home_Health","Disp_Unknown","DNR_Yes","DNR_No","DNR_Unknown","Payer_Medicare","Payer_Medi_Cal","Payer_Priv_Coverage","Payer_Workers_Comp","Payer_County_Indigent_Prog","Payer_Other_Government","Payer_Other_Indigent","Payer_Self_Pay","Payer_Other_Payer","Payer_Unknown","Dx_Infections","Dx_Neoplasms","dx_Endocrine","Dx_Blood_Disorders","Dx_Psychoses_Neuroses","Dx_Nervous_System","Dx_Circulatory","Dx_Respiratory","Dx_Digestive","Dx_Genitourinary","Dx_All_Pregnancies","Dx_Skin_disorders","Dx_Musculoskeletal","Dx_Congenital_anomalies","Dx_Perinatal_disorders","Dx_Symptoms","Dx_Injuries_Drugs_Complications","Dx_Other_Reasons","Dx_Births","Pr_Nervous_System","Pr_Endocrine_System","Pr_Eye","Pr_Ear","Pr_Nose_Mouth_Pharynx","Pr_Respiratory","Pr_Cardiovascular","Pr_Blood_Lymph_Organs","Pr_Digestive","Pr_Urinary","Pr_OB_Procedures","Pr_Musculoskeletal","Pr_Skin","Pr_Diagnostic_Therapeutic","Pr_Other_Interventions","Pr_None","EC_Accidental_Poisoning","EC_Misadventures_Complication","EC_Accidental_Falls","EC_Fire_Accidents","EC_Natural_Environment","EC_Submersion_Suffocation_Foreig","EC_Other_Accidents","EC_Adverse_Effects_of_Drugs","EC_Self_Inflicted","EC_Inflicted_by_Others","EC_Undetermined","EC_War","EC_Late_Effects_of_Injury","EC_None","Dsch_Days","Disp_SN_IC_Care","EC_Rail_Motor_Vehicle","Pr_Reproductive_System","Disp_Acute_Care","MSSA_DESIGNATION","Disp_Rehab","Disp_Disaster_Care_Site","Disp_Childrens_or_cancer","Disp_Hospice_Care","Disp_Psychiatric_Care","Disp_CAH","Disp_Other_Care","Disp_Invalid_Blank","Dx_Birth_Defects","Dx_Cancer","Dx_Ear","Dx_Eye","PR_General","PR_Imaging","PR_Radiation_Oncology","PR_Nuclear_Medicine","PR_New_Technologies","EC_Abnormal_Reaction_Later_Cx","EC_Med_Device_Adverse_Incident","EC_Supplementary_Factors","EC_W_Inanimate_Animate_Object","EC_NonTrans_Drowning_Subm","Route_No_ER","Adm_Emergency","Adm_Urgent","Adm_NA","Adm_Trauma","Admt_Clinic_Dr","Admt_DistinctPartXfer","Admt_Hosp_Dif","Admt_HospiceFacility","Zip_CA_Resident","Zip_Foreign","Zip_Homeless","Zip_Out_of_State","Zip_Unknown","Zip_Blank_Invalid","eth_Hispanic","eth_NonHispanic","eth_Unknown","eth_Blank_Invalid","Racegrp_aman","Racegrp_multirace","Racegrp_nhpi","dx_Symptoms_Signs_NEC","Dx_Residual","Admt_Disaster_Care_Site"
"1",2012,"010846","ALAMEDA COUNTY MEDICAL CENTER","1411 EAST 31ST STREET","OAKLAND","94602","ALAMEDA","300-499","City/County","Teaching",12137,190,2986,0,465,0,8374,7404,0,1163,420,2667,2481,2653,3297,2037,653,406,1,2764,5794,4007,1754,47,1342,70,13233,128,11,276,427,470,1109,122,2,0,8992,6786,0,1842,12822,1114,0,11841,480,269,249,201,674,2,202,15576,0,2259,7931,577,23,3674,95,149,1070,0,0,501,624,500,121,3212,276,1272,765,1344,468,1343,452,458,17,45,709,1680,879,1112,272,42,41,9,99,203,816,37,1216,119,1143,800,535,4682,9,5448,95,630,456,4,22,14,143,500,66,507,16,0,209,12633,123943,765,483,307,434,NA,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2012,"044006","BUTTE COUNTY PHF","592 RIO LINDO AVENUE","CHICO","95926","BUTTE","1-49","City/County","NA",0,0,683,0,0,0,336,347,0,0,30,190,152,137,136,36,2,0,0,530,30,82,13,13,15,0,673,4,0,0,0,0,0,1,5,0,0,683,0,10,672,0,1,675,0,2,0,0,1,0,0,683,0,135,286,6,0,78,0,3,171,4,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,683,4484,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2012,"070924","CONTRA COSTA REGIONAL MEDICAL CENTER","2500 ALHAMBRA AVENUE","MARTINEZ","94553","CONTRA COSTA","150-199","City/County","NA",9514,0,777,0,0,0,4085,6206,0,1948,285,1822,1507,1274,1624,1032,470,329,0,3505,1492,3758,934,367,207,28,7716,88,248,125,85,30,1902,95,2,0,5755,4536,0,467,7916,1902,6,9001,283,90,83,89,86,0,253,10038,0,1418,6324,553,2,819,171,48,883,73,0,258,369,376,103,1028,176,743,451,1019,443,2118,263,135,2,45,383,441,38,1900,70,28,2,0,28,73,150,26,844,87,1888,252,298,558,1,5756,84,341,193,1,20,9,97,379,51,35,20,0,36,8995,45257,236,30,230,215,NA,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2012,"094002","EL DORADO COUNTY P H F","935-B SPRING STREET","PLACERVILLE","95667","EL DORADO","1-49","City/County","NA",0,0,398,0,0,0,201,197,0,0,17,104,91,80,79,27,0,0,0,348,8,21,9,7,5,0,392,0,0,0,0,0,0,4,2,0,0,398,0,0,398,0,0,373,0,5,1,0,0,0,0,398,0,0,144,3,0,129,119,0,3,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,3035,0,0,0,18,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2012,"124004","SEMPERVIRENS P.H.F.","720 WOOD STREET","EUREKA","95501","HUMBOLDT","1-49","City/County","NA",0,0,684,0,0,0,368,316,0,0,19,189,152,124,143,51,6,0,0,540,24,39,10,52,5,14,672,0,0,0,0,0,0,12,0,0,0,684,0,0,684,0,0,634,0,8,1,0,0,0,0,684,0,177,252,58,0,57,20,2,118,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,3372,5,0,0,0,NA,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2012,"130699","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","EL CENTRO","92243","IMPERIAL","150-199","City/County","NA",7780,0,0,0,0,0,3314,4466,0,1460,236,921,761,555,797,843,957,1250,0,948,115,6481,47,3,134,52,6495,0,129,0,2,0,1154,0,0,0,4823,2957,0,1808,4823,1149,0,5933,0,35,130,203,701,8,255,7523,2,2981,2191,1522,27,332,82,51,594,0,0,378,203,313,86,37,101,974,748,964,392,1316,167,192,2,36,323,379,16,1153,74,2,3,1,4,95,385,28,885,37,1139,310,86,321,5,4271,24,209,239,2,30,14,32,172,20,14,15,0,6,6970,27883,434,33,134,247,NA,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2012,"150736","KERN MEDICAL CENTER","1700 MOUNT VERNON AVENUE","BAKERSFIELD","93306","KERN","200-299","City/County","Teaching",12749,0,759,0,0,0,5330,8178,0,3966,771,2977,1955,1396,1415,700,189,139,0,3292,1018,8572,123,23,458,22,9311,0,240,4,419,63,3444,14,6,7,4735,8773,0,1943,8104,3461,0,12327,0,209,197,148,39,0,161,13347,0,775,10473,746,45,182,268,0,891,128,0,433,376,260,65,814,143,431,409,745,328,3713,237,201,11,156,263,1436,31,3456,285,23,19,4,34,253,236,54,748,103,3428,721,278,3935,8,3113,32,477,263,1,50,21,129,280,119,284,24,0,37,11235,56288,155,556,266,214,NA,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2012,"191227","LAC/HARBOR-UCLA MEDICAL CENTER","1000 WEST CARSON STREET","TORRANCE","90502","LOS ANGELES","300-499","City/County","Teaching",19964,0,791,0,0,0,10875,9875,5,2188,1101,2539,2511,3395,4696,2816,907,602,0,2606,4775,11615,1612,16,107,24,18671,72,14,106,660,403,806,20,0,3,15082,5670,3,1973,17886,896,0,18783,94,41,270,369,194,0,334,20421,0,1977,10453,602,49,5037,519,0,1961,156,1,1020,1783,893,345,1055,619,2702,1102,2374,990,1170,537,615,113,140,879,2980,621,817,625,105,111,19,169,511,1569,126,2626,292,821,1718,731,5633,22,4881,77,1344,858,4,42,68,363,711,79,473,42,0,171,15806,119493,406,717,796,337,NA,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2012,"191228","LAC+USC MEDICAL CENTER","1200 NORTH STATE STREET","LOS ANGELES","90033","LOS ANGELES","500+","City/County","Teaching",31933,0,1086,0,0,0,18520,14499,0,2618,2045,4201,4364,5996,7383,4284,1281,847,0,3473,3988,22712,2367,2,390,87,28530,12,0,39,1100,279,980,2079,0,0,24362,8657,0,4997,27030,983,9,27417,0,2018,792,664,20,0,488,32531,0,2443,17446,924,126,6190,2609,0,3261,16,4,1026,2774,1087,533,2816,1024,3855,1743,4323,1979,1598,932,1007,151,131,1427,4675,957,980,1053,148,171,27,247,741,2587,184,3911,531,1032,1995,1410,6271,13,11534,118,1355,1368,93,82,89,893,599,263,650,70,0,268,26077,206856,583,1094,1164,772,NA,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2012,"191231","LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE","SYLMAR","91342","LOS ANGELES","300-499","City/County","Teaching",13395,0,821,0,0,0,7019,7197,0,847,299,1632,1952,2716,3538,2169,697,366,0,3035,913,9031,951,29,253,4,12928,41,10,235,215,33,607,131,16,0,9679,4537,0,978,12630,608,0,12795,58,29,290,117,127,0,292,13924,0,1046,6963,136,6,4292,590,0,1183,0,0,789,971,733,286,1058,412,1715,707,2141,993,814,448,256,40,22,1262,637,324,608,227,115,61,17,66,185,1119,118,1823,316,603,277,531,7412,0,760,54,712,102,2,14,21,87,862,35,40,15,0,34,12214,69760,391,24,586,286,NA,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
